write_ratio         ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput         ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s) ,optimal_action_predicted
0.4944944944944945  ,0.06343501880484748  ,3636.02084651952   ,  11.472872872873184 ,     40.0 ,            1.0 ,    0.0 ,407.6143904994761  ,                       0.132886 ,             0.193972 ,              0.014369 ,            2.957369 ,      268.1598904619284
0.4963              ,0.060473085924439986 ,3614.8010196630717 ,  13.252100000000311 ,     30.0 ,            1.0 ,    0.0 ,421.95909580193756 ,                       0.131173 ,             0.174554 ,              0.014234 ,            2.887589 ,      379.22375973461
0.49059059059059057 ,0.06143202467283487  ,3662.09863545586   ,  12.898298298298629 ,     50.0 ,            1.0 ,    0.0 ,395.34075104311546 ,                       0.134895 ,             0.175262 ,              0.017887 ,            2.976409 ,      234.62121898534096
0.4982              ,0.06315131304710296  ,3599.5189602861474 ,  12.371600000000305 ,     30.0 ,            1.0 ,    0.0 ,401.2345679012346  ,                       0.132566 ,             0.178078 ,              0.014742 ,            2.854932 ,      234.50356714937882
0.5021021021021022  ,0.06314604868289429  ,3710.158964899074  ,  14.065165165165332 ,     30.0 ,            1.0 ,    0.0 ,386.1901457321305  ,                       0.134871 ,             0.17948  ,              0.014467 ,            2.991809 ,      215.9240815884284
0.5156156156156156  ,0.06344461052981232  ,3561.0694900470066 ,  13.265465465465693 ,     20.0 ,            1.0 ,    0.0 ,405.7406094968108  ,                       0.140209 ,             0.177751 ,              0.014302 ,            2.954888 ,      195.5144520262355
0.4954              ,0.06292743953294412  ,3648.8506667727265 ,  13.743300000000113 ,     20.0 ,            1.0 ,    0.0 ,391.2133891213389  ,                       0.140559 ,             0.177561 ,              0.016486 ,            2.960903 ,      195.5777543936566
0.5009              ,0.06159089020031585  ,3581.2193693830814 ,  13.06820000000028  ,     20.0 ,            1.0 ,    0.0 ,424.84121383203956 ,                       0.139838 ,             0.18506  ,              0.014732 ,            2.942948 ,      229.91342938363496
0.4966              ,0.062108428702698185 ,3640.5164727909623 ,  13.263400000000344 ,     20.0 ,            1.0 ,    0.0 ,417.6861237329605  ,                       0.135146 ,             0.178439 ,              0.014467 ,            2.995167 ,      195.49278245950723
0.4962              ,0.06238926853961022  ,3594.9795391739526 ,  12.520900000000347 ,     50.0 ,            1.0 ,    0.0 ,386.01302708261915 ,                       0.135642 ,             0.176789 ,              0.014378 ,            3.025009 ,      220.7145505449888
0.4983              ,0.06067940906435189  ,3558.9747020960226 ,  12.873100000000312 ,     20.0 ,            1.0 ,    0.0 ,425.3889674681754  ,                       0.131443 ,             0.179286 ,              0.014377 ,            2.940759 ,      209.53901975165948
0.4872              ,0.06489960514156096  ,3611.9325247661186 ,  13.237700000000235 ,     20.0 ,            1.0 ,    0.0 ,420.86834733893556 ,                       0.138026 ,             0.178298 ,              0.015089 ,            2.972691 ,      292.8831986745839
0.493               ,0.06142629682393363  ,3567.0423832408933 ,  12.413900000000435 ,     20.0 ,            1.0 ,    0.0 ,399.92877492877494 ,                       0.140215 ,             0.180021 ,              0.016587 ,            2.916939 ,      216.33695970002864
0.5018              ,0.06351048835088301  ,3627.62962336861   ,  13.782200000000156 ,     20.0 ,            1.0 ,    0.0 ,394.54354669464846 ,                       0.138138 ,             0.182119 ,              0.015045 ,            2.984775 ,      251.37691664162602
